frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
1173,1566536051851512454,72.00,264.00,696,273520,11346,75.28,258.12,163.06,0.9730,1,0.2416,0.6756,0.9750,10000,3999,10,0.876,519.0,376.5,ndt_r3_i240,3759.1,0.9748,0.2467,0.213,0.650,0.213
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,693.9,438.8,icp_d4_i240,21936.5,0.9510,0.2416,1.450,1.398,1.117
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,693.9,438.8,gicp_d4_i240,20711.6,0.9508,0.2434,1.403,1.443,1.403
1246,1566536059146865601,120.00,240.00,667,302018,13848,125.34,250.81,178.77,0.8804,1,1.1645,1.9184,0.9467,10000,2691,10,2.194,693.9,438.8,ndt_r3_i240,4697.8,0.9500,0.2441,1.327,1.315,1.326
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,550.5,449.4,icp_d4_i240,9046.9,0.9950,0.2456,2.040,0.727,1.954
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,550.5,449.4,gicp_d4_i240,4712.7,0.9949,0.2463,2.018,0.743,2.018
1319,1566536066447122403,192.00,264.00,329,188020,14809,194.16,256.76,-166.90,0.7994,0,2.0232,0.7532,0.9949,10000,727,10,1.061,550.5,449.4,ndt_r3_i240,3589.0,0.9951,0.2464,2.057,0.790,1.029
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,331.4,275.1,icp_d4_i240,8959.6,0.9846,0.2496,0.569,0.708,0.563
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,331.4,275.1,gicp_d4_i240,7058.8,0.9842,0.2523,0.608,0.761,0.608
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,331.4,275.1,ndt_r3_i240,2853.9,0.9839,0.2536,0.658,0.651,0.658
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,348.2,303.4,icp_d4_i240,10351.6,0.9950,0.2507,0.548,0.812,0.548
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,348.2,303.4,gicp_d4_i240,11532.2,0.9950,0.2521,0.624,0.791,0.623
