frame,timestamp_ns,tile_x,tile_y,tile_frames,tile_points,query_points,gt_x,gt_y,gt_yaw_deg,gt_inlier,gt_probe_ok,gt_probe_dt,gt_probe_dr,gt_probe_inlier,evaluated,passed,distinct,oracle_dt,feature_ms,ransac_ms,config,omp_threads,polish_input_points,target_prep_ms,polish_ms,best_inlier,best_error,err_trans,err_rot_deg,oracle_polished_dt
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,317.4,292.1,none,0,10059,0.0,5.1,0.9801,0.2407,1.040,0.987,1.040
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,317.4,292.1,gicp_plugin,16,10059,0.0,3439.9,0.9844,0.2528,0.582,0.962,0.582
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,317.4,292.1,gicp_d4_i60,16,10059,69.7,3997.0,0.9842,0.2523,0.608,0.761,0.608
1392,1566536073745553974,264.00,288.00,374,146698,10059,262.05,286.96,-154.19,0.9760,1,0.6077,0.7605,0.9842,10000,2593,10,1.040,317.4,292.1,ndt_r3_i120,16,10059,6.9,2949.1,0.9839,0.2536,0.658,0.651,0.658
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,366.3,324.0,none,0,11114,0.0,5.4,0.6916,0.2478,1.377,6.248,1.377
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,366.3,324.0,gicp_plugin,16,11114,0.0,4241.3,0.9949,0.2520,0.573,0.819,0.573
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,366.3,324.0,gicp_d4_i60,16,11114,74.0,5369.9,0.9950,0.2521,0.624,0.791,0.623
1465,1566536081049606321,312.00,288.00,350,158664,11114,307.15,282.23,129.23,0.9873,1,0.6249,0.7910,0.9950,10000,1891,10,1.377,366.3,324.0,ndt_r3_i120,16,11114,8.7,3466.0,0.9951,0.2522,0.640,0.580,0.627
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,409.2,298.6,none,0,9311,0.0,6.2,0.8531,0.2443,1.906,2.476,1.667
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,409.2,298.6,gicp_plugin,16,9311,0.0,3452.5,0.9668,0.2515,1.059,0.220,1.059
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,409.2,298.6,gicp_d4_i60,16,9311,87.4,3915.1,0.9665,0.2502,0.992,0.228,0.990
1538,1566536088345101704,336.00,240.00,383,178154,9311,337.62,236.57,122.36,0.9367,1,0.9922,0.2273,0.9665,10000,4149,10,1.667,409.2,298.6,ndt_r3_i120,16,9311,8.1,3440.9,0.9664,0.2511,1.047,0.278,1.033
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,411.0,275.1,none,0,8630,0.0,6.8,0.6060,0.2497,13.939,18.713,5.058
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,411.0,275.1,gicp_plugin,16,8630,0.0,5382.2,0.9336,0.2429,1.919,0.748,1.919
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,411.0,275.1,gicp_d4_i60,16,8630,95.5,9671.6,0.9815,0.2453,0.779,0.388,0.779
1611,1566536095644964355,360.00,192.00,418,212491,8630,369.62,185.75,122.54,0.9761,1,0.7621,0.4141,0.9815,10000,3085,10,5.058,411.0,275.1,ndt_r3_i120,16,8630,9.8,3139.2,0.9816,0.2467,0.720,0.487,0.720
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,546.0,342.4,none,0,10699,0.0,5.6,0.7854,0.2528,1.013,8.819,1.013
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,546.0,342.4,gicp_plugin,16,10699,0.0,5156.3,0.9938,0.2472,1.314,0.356,0.723
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,546.0,342.4,gicp_d4_i60,16,10699,92.6,8972.0,0.9940,0.2440,1.368,0.552,0.684
1684,1566536102952865725,408.00,168.00,411,210806,10699,400.15,162.44,-160.68,0.9865,1,0.6837,0.4354,0.9939,10000,5247,10,1.013,546.0,342.4,ndt_r3_i120,16,10699,8.1,3556.4,0.9942,0.2513,1.078,0.482,1.024
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,435.7,330.7,none,0,9627,0.0,5.8,0.8376,0.2543,6.330,1.202,3.715
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,435.7,330.7,gicp_plugin,16,9627,0.0,4268.0,0.9809,0.2479,0.635,0.307,0.635
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,435.7,330.7,gicp_d4_i60,16,9627,101.3,9846.7,0.9805,0.2485,0.611,0.194,0.611
1757,1566536110248473293,432.00,168.00,389,202322,9627,427.87,179.82,-144.43,0.9816,1,0.6342,0.1902,0.9805,10000,5591,10,3.715,435.7,330.7,ndt_r3_i120,16,9627,7.9,2819.6,0.9800,0.2482,0.673,0.442,0.673
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,420.8,380.0,none,0,12207,0.0,9.7,0.8915,0.2513,0.810,3.205,0.810
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,420.8,380.0,gicp_plugin,16,12207,0.0,4104.8,0.9606,0.2554,0.435,0.234,0.432
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,420.8,380.0,gicp_d4_i60,16,12207,75.8,8654.9,0.9606,0.2559,0.423,0.209,0.423
1830,1566536117544168777,456.00,192.00,283,167550,12207,462.40,201.80,-148.72,0.9602,1,0.4215,0.2302,0.9606,10000,4040,10,0.810,420.8,380.0,ndt_r3_i120,16,12207,6.9,2948.1,0.9600,0.2559,0.475,0.208,0.475
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,414.2,357.2,none,0,12208,0.0,10.0,0.7111,0.2506,2.468,3.507,1.006
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,414.2,357.2,gicp_plugin,16,12208,0.0,4840.6,0.9831,0.2416,0.308,0.186,0.243
1903,1566536124844530056,504.00,240.00,197,175430,12208,515.87,235.72,-147.75,0.9839,1,0.2164,0.2147,0.9830,10000,1557,10,1.006,414.2,357.2,gicp_d4_i60,16,12208,74.3,4418.1,0.9830,0.2405,0.214,0.216,0.214
